Date,Open,High,Low,Close,EMA10,Smoothing Line10,EMA40,Smoothing Line40,Basis,Upper,Lower,Volume,Volume MA,RSI,RSI-based MA,ROC,Williams,Histogram,MACD,Signal,CCI,Smoothing Line,Disparity Index,SES,Sentiment Avg,H/L%
3/14/14,88.99,89.38,88.63,88.67,88.8609609,88.80616809,89.93135839,90.27469622,90.1895,91.31220165,89.06679835,38738769,33670931.9,51.44319869,59.17235392,-0.337192312,-98.53479853,-0.283800231,0.463757389,0.74755762,-236.3233407,-54.15205662,-1.767019332,90.14540838,0.056777357,0.008462146
3/17/14,89.24,89.91,89.19,89.45,88.88969451,88.84664769,89.84383869,90.15856963,90.1715,91.32896749,89.01403251,28476800,33390452.4,54.07104305,58.67281821,-0.200825616,-69.96336996,-0.285740394,0.390382127,0.676122522,-106.4041588,-89.00724037,-0.835411965,89.70278586,0.057450432,0.008072654
3/18/14,89.55,90.64,89.53,90.53,88.96970942,88.88817708,89.96859529,90.0748297,90.1855,91.35315534,89.01784466,31250235,33472244.6,57.38701676,58.43367266,0.801692462,-30.4029304,-0.20921847,0.414599434,0.623817904,49.72754502,-81.56427756,0.338043779,89.6269501,0.056714614,0.012398079
3/19/14,90.56,90.66,89.45,90.04,89.02191871,88.92260746,89.98157796,89.98740612,90.206,91.34804028,89.06395972,40869371,33426949.8,55.49914063,58.01902451,-0.232686981,-48.35164835,-0.187246317,0.389760008,0.577006325,-25.42892157,-98.30724415,-0.173431004,89.89786507,0.054896132,0.01352711
3/20/14,89.78,90.56,89.58,90.29,89.08377634,88.96521198,90.0376547,89.95260501,90.218,91.35827365,89.07772635,31634538,32917016.1,56.26149713,57.68999496,0.736360594,-39.19413919,-0.152964876,0.38580023,0.538765106,11.24648547,-61.43647813,0.10770571,89.94050555,0.051608399,0.010939942
3/21/14,90.61,90.65,88.825,89,89.07968969,89.00895773,89.84899021,89.93613137,90.1715,91.42517101,88.91782899,62812715,34496564.6,51.53108369,57.22821121,-1.166018878,-86.44688645,-0.210695866,0.275395273,0.486091139,-158.7721082,-45.92623161,-1.270175828,90.04535389,0.047651308,0.020546017
3/24/14,89.32,89.39,87.41,88.22,89.0377536,89.03856955,89.55281017,89.87792566,90.062,91.56998674,88.55401326,77735313,36807454.15,48.94698515,56.35097185,-1.901478928,-79.49367089,-0.290044885,0.123535033,0.413579918,-201.1795544,-64.88131072,-1.934192975,89.73174772,0.044303909,0.02265187
3/25/14,88.69,89.25,87.7701,88.51,89.01200953,89.04702957,89.36320832,89.75684827,89.972,91.6185309,88.3254691,41723335,37520385.35,49.91666166,55.49529866,-2.101537441,-72.15189873,-0.309838087,0.026282309,0.336120396,-139.1585761,-102.6585349,-1.412215866,89.2782234,0.040738106,0.016861095
3/26/14,88.96,89.15,87.36,87.37,88.9319115,89.02902813,89.00080681,89.56069404,89.829,91.82149492,87.83650508,40930442,37418490.75,46.3248253,54.40822492,-3.255453438,-99.75,-0.381818341,-0.141152529,0.240665811,-193.7288269,-136.318516,-2.401697945,89.04775638,0.037807125,0.020489927
3/27/14,87.27,87.64,86.4,86.879,88.83176948,88.97862676,88.61502375,89.27616785,89.65095,91.99808966,87.30381034,64784488,39220199.5,44.88040098,53.3594041,-3.713842403,-89.70998926,-0.440447198,-0.309893186,0.130554012,-188.0193178,-176.1716767,-2.666631456,88.54442947,0.036494933,0.014351852
3/28/14,87.15,88.01,86.81,87.05,88.74485389,88.9116596,88.33047398,88.97246461,89.48645,92.0669255,86.9059745,39895065,38783794.8,45.49504271,52.33743289,-3.748341442,-86.03651987,-0.444383075,-0.424924832,0.019458243,-148.3507702,-174.0874091,-2.196427325,88.04480063,0.035261249,0.013823292
3/31/14,87.73,88.26,87.62,87.67,88.69242199,88.84259328,88.2103878,88.70398013,89.38645,92.08311716,86.68978284,33924297,38532667.4,47.69126456,51.59630997,-2.955501439,-71.96467991,-0.384165157,-0.460748204,-0.076583046,-96.73642431,-153.198783,-1.297849088,87.74636044,0.035655605,0.007304268
4/1/14,88.1,89.27,87.7106,89.21,88.7176697,88.78372531,88.39213547,88.50976556,89.30645,91.92319259,86.68970741,38683837,38806163.8,52.61608698,51.13027485,-0.512992082,-37.96909492,-0.227305766,-0.360715253,-0.133409488,-5.738253536,-126.5147185,0.545094911,87.72345231,0.03646539,0.017778923
4/2/14,89.59,89.68,89.035,89.44,88.75290533,88.74792408,88.5826563,88.42613546,89.22545,91.71737243,86.73352757,34631615,39176714.35,53.29803155,51.09730563,-1.508644422,-28.63849765,-0.101179262,-0.259883566,-0.158704303,13.68733483,-85.03148619,0.791336272,88.16941662,0.038970105,0.007244342
4/3/14,89.55,89.679,88.22,88.73,88.75178799,88.73192778,88.60944606,88.42501992,89.11295,91.47778771,86.74811229,30319074,39488357.05,50.94752136,51.06190011,-2.558752471,-45.30516432,-0.060685294,-0.234560921,-0.173875627,-25.74224481,-52.5760716,-0.013602825,88.55059163,0.040319428,0.0165382
4/4/14,89.29,89.41,86.14,86.37,88.63560321,88.71007765,88.20227405,88.39937994,88.90495,91.45887838,86.35102162,131213229,44490276.65,44.21652107,50.35800568,-5.067047703,-94.91150442,-0.181147731,-0.400310291,-0.21916256,-158.3025387,-54.5664253,-2.431112822,88.60441414,0.042735063,0.037961458
4/7/14,85.84,86.63,84.951,85.55,88.48508598,88.66861044,87.7200424,88.30131086,88.65195,91.4690785,85.8348215,83995771,47783155.3,42.20461033,49.27354808,-5.500938915,-89.50779471,-0.297487611,-0.591022073,-0.293534462,-178.3252563,-70.88419169,-2.967523245,87.9340899,0.048426838,0.019764335
4/8/14,85.65,86.46,85.35,86.34,88.38044764,88.60116603,87.4691256,88.11670888,88.45795,91.34982403,85.56607597,51495650,48982685.5,44.72105586,48.50368488,-4.712504139,-75.62730304,-0.301720349,-0.670684899,-0.36896455,-115.5966357,-92.85586812,-1.777058724,87.21886293,0.054195141,0.013005272
4/9/14,86.67,87.87,86.43,87.82,88.35310873,88.52120671,87.53292095,87.90676181,88.32095,91.05692014,85.58497986,45685231,49867086.3,49.03790298,47.98771387,-2.660164043,-49.65783471,-0.190742747,-0.607392983,-0.416650236,-28.74179006,-101.3416931,0.107559363,86.95520405,0.05971393,0.016660882
4/10/14,87.87,87.88,84.86,85.1,88.1944205,88.40973321,87.09057168,87.60298694,88.11195,91.1453898,85.0785102,73659615,51122969.5,42.67725945,47.35529785,-6.029151943,-95.02074689,-0.28097061,-0.767863499,-0.486892889,-156.1580945,-127.424863,-2.683990888,87.21464284,0.06448744,0.035588027
4/11/14,84.34,85.44,83.91,84.11,87.99518048,88.28164867,86.54864956,87.27226204,87.88395,91.36743357,84.40046643,93657425,53868902.3,40.68274966,46.76499532,-5.790770609,-96.53379549,-0.381535321,-0.963812041,-0.582276719,-172.5569539,-130.2757461,-3.492114488,86.58024998,0.067552988,0.018233822
4/14/14,84.85,85.22,83.99,84.77,87.8378546,88.15220239,86.22525873,86.97330531,87.64995,91.30569455,83.99420545,46500747,54770099.65,42.54179864,46.23821939,-4.39833089,-85.09532062,-0.377138458,-1.053699792,-0.676561334,-125.4015477,-119.6910044,-2.435776125,85.83917499,0.071035222,0.014644601
